,,,,,,,,,
,"Дана база створена на основі двох джерел - 2х сповідних розписів 1778 р. 2х церков, що були в Дунайці, ці розписи локалізуються в одному документі.  ",,,,,,,,
,Церква №1  - Різдва Богородиці,,,,,,,,
,ЦДІАК України. Ф.127. Оп. 1016. Спр. 53. Арк. 445-470,,,,,,,,
,,,Число обоего пола душ,,,,,,
,,,Исповедавшихся и причастившихся,,Неисповедавшихся за малолетством,,Итого,,
,,,Муж,Жен ,Муж,Жен,Муж,Жен,
,Духовные,,,,,,6,5,
,,Поп,1,,,,,,
,,Дякон,1,,,,,,
,,Жен их,,2,,,,,
,,дети мужеска пола,3,,1,,,,
,,дети женска пола,,1,,2,,,
,Военные,,,,,,375,353,
,,Козаков,195,,,,,,
,,жен их,,197,,,,,
,,дети мужеска пола,98,,82,,,,
,,дети женска пола,,74,,82,,,
,Посполитые,,,,,,219,200,
,,Посполитых,118,,,,,,
,,жен их,,120,39,,,,
,,дети мужеска пола,62,,,30,,,
,,дети женска пола,,50,,,,,
,Всего,,458,441,122,114,600,558,
,Все це населення мешкало у 70 дворах. ,,,,,,,,
,,,,,,,,,
,Арк. 470,,,,,,,,
,,,,,,,,,
,"Церква №2 Великомученика Георгія у слободі Дунаєць - заснована як приватна церква, тому нараховувала не багато прафіян. Перший аркуш сповідного розпису втрачено (церковнослужителі та родина власника маєтку)",,,,,,,,
,ЦДІАК України. Ф.127. Оп. 1016. Спр. 53. Арк. 471(472)-479(480),,,,,,,,
,,,,Число обоего пола душ,,,,,
,,,,Исповедавшихся и причастившихся,,Неисповедавшихся за малолетством,,Итого,
,,,,Муж,Жен ,Муж,Жен,Муж,Жен
,,Духовные,,,,,,4,4
,,,Поп,1,,,,,
,,,Дячок и пономарь,2,,,,,
,,,Жен их,,3,,,,
,,,дети мужеска пола,,,1,,,
,,,дети женска пола,,,,1,,
,,Военные,,,,,,3,6
,,,Отставной майор,1,,,,,
,,,жен их,,1,,,,
,,,дети мужеска пола,2,,,,,
,,,дети женска пола,,2,,3,,
,,Дворовые,,,,,,33,36
,,,Дворовые,22,,,,,
,,,жен их,,19,,,,
,,,дети мужеска пола,8,,3,,,
,,,дети женска пола,,12,,5,,
,,Посполитые,,,,,,33,36
,,,Посполитых,100,,,,,
,,,жен их,,103,38,,,
,,,дети мужеска пола,60,,,29,,
,,,дети женска пола,,45,,,,
,,Всего,,196,185,42,38,238,223
,,,,,,,,,
,"У підсумковій таблиці зазначено, що разом в приході церкви Великомученика Георгія 26 дворів та тринадцять бездвірних хат",,,,,,,,